Date,capacity,occupancy,vacancy
2017-01-01,4653,4295,358
2017-01-02,4704,4299,405
2017-01-03,4733,4386,347
2017-01-04,4938,4600,338
2017-01-05,5011,4729,282
2017-01-06,5054,4803,251
2017-01-07,5184,4939,245
2017-01-08,5397,4911,486
2017-01-09,5281,4994,287
2017-01-10,5368,5176,192
2017-01-11,5523,5244,279
2017-01-12,5574,5365,209
2017-01-13,4699,4410,289
2017-01-14,4699,4411,288
2017-01-15,4699,4414,285
2017-01-16,4699,4335,364
2017-01-17,4699,4338,361
2017-01-18,4699,4364,335
2017-01-19,4699,4359,340
2017-01-20,4699,4432,267
2017-01-21,4699,4416,283
2017-01-22,4699,4424,275
2017-01-23,4699,4354,345
2017-01-24,4699,4361,338
2017-01-25,4709,4364,345
2017-01-26,4709,4349,360
2017-01-27,4709,4402,307
2017-01-28,4709,4416,293
2017-01-29,4709,4424,285
2017-01-30,4714,4350,364
2017-01-31,4699,4327,372
2017-02-01,4653,4289,364
2017-02-02,4704,4307,397
2017-02-03,4733,4379,354
2017-02-04,4938,4558,380
2017-02-05,5011,4726,285
2017-02-06,5054,4788,266
2017-02-07,5184,4944,240
2017-02-08,5396,4895,501
2017-02-09,5281,5053,228
2017-02-10,5383,5112,271
2017-02-11,5523,5271,252
2017-02-12,5576,5335,241
2017-02-13,4725,4399,326
2017-02-14,4725,4401,324
2017-02-15,4725,4403,322
2017-02-16,4725,4403,322
2017-02-17,4725,4477,248
2017-02-18,4725,4470,255
2017-02-19,4725,4458,267
2017-02-20,4725,4417,308
2017-02-21,4731,4415,316
2017-02-22,4731,4425,306
2017-02-23,4737,4429,308
2017-02-24,4737,4519,218
2017-02-25,4737,4497,240
2017-02-26,4737,4507,230
2017-02-27,4727,4444,283
2017-02-28,4727,4444,283
2017-03-01,4653,4296,357
2017-03-02,4709,4412,297
2017-03-03,4733,4489,244
2017-03-04,4938,4568,370
2017-03-05,5011,4731,280
2017-03-06,5054,4843,211
2017-03-07,5184,4859,325
2017-03-08,5291,4941,350
2017-03-09,5281,5070,211
2017-03-10,5388,5132,256
2017-03-11,5523,5360,163
2017-03-12,5576,5372,204
2017-03-13,4721,4475,246
2017-03-14,4721,4503,218
2017-03-15,4721,4512,209
2017-03-16,4721,4476,245
2017-03-17,4721,4605,116
2017-03-18,4721,4578,143
2017-03-19,4721,4551,170
2017-03-20,4721,4503,218
2017-03-21,4721,4526,195
2017-03-22,4721,4527,194
2017-03-23,4721,4521,200
2017-03-24,4821,4625,196
2017-03-25,4821,4616,205
2017-03-26,4821,4615,206
2017-03-27,4821,4548,273
2017-03-28,4821,4557,264
2017-03-29,4821,4553,268
2017-03-30,4821,4597,224
2017-03-31,4938,4642,296
2017-04-01,4653,4319,334
2017-04-02,4709,4409,300
2017-04-03,4733,4510,223
2017-04-04,4938,4518,420
2017-04-05,5007,4730,277
2017-04-06,5054,4860,194
2017-04-07,5184,4825,359
2017-04-08,5291,4967,324
2017-04-09,5281,4998,283
2017-04-10,5385,5133,252
2017-04-11,5523,5368,155
2017-04-12,5576,5285,291
2017-04-13,4938,4634,304
2017-04-14,4938,4731,207
2017-04-15,4938,4731,207
2017-04-16,4938,4736,202
2017-04-17,4938,4676,262
2017-04-18,4938,4655,283
2017-04-19,4984,4685,299
2017-04-20,4984,4701,283
2017-04-21,4996,4795,201
2017-04-22,4996,4786,210
2017-04-23,4996,4797,199
2017-04-24,4996,4765,231
2017-04-25,5011,4771,240
2017-04-26,5011,4743,268
2017-04-27,5011,4742,269
2017-04-28,5011,4832,179
2017-04-29,5011,4821,190
2017-04-30,5011,4831,180
2017-05-01,4653,4328,325
2017-05-02,4709,4389,320
2017-05-03,4733,4477,256
2017-05-04,4938,4515,423
2017-05-05,5007,4827,180
2017-05-06,5194,4806,388
2017-05-07,5184,4836,348
2017-05-08,5291,5049,242
2017-05-09,5281,4983,298
2017-05-10,5390,5165,225
2017-05-11,5523,5354,169
2017-05-12,5576,5291,285
2017-05-13,5007,4821,186
2017-05-14,5007,4851,156
2017-05-15,5007,4753,254
2017-05-16,5007,4756,251
2017-05-17,5067,4743,324
2017-05-18,5067,4751,316
2017-05-19,5067,4845,222
2017-05-20,5067,4858,209
2017-05-21,5067,4856,211
2017-05-22,5067,4798,269
2017-05-23,5067,4804,263
2017-05-24,5067,4810,257
2017-05-25,5057,4822,235
2017-05-26,5057,4901,156
2017-05-27,5057,4908,149
2017-05-28,5057,4898,159
2017-05-29,5057,4831,226
2017-05-30,5057,4831,226
2017-05-31,5054,4810,244
2017-06-01,4653,4369,284
2017-06-02,4714,4324,390
2017-06-03,4733,4426,307
2017-06-04,4938,4555,383
2017-06-05,5007,4836,171
2017-06-06,5194,4812,382
2017-06-07,5184,4846,338
2017-06-08,5291,5031,260
2017-06-09,5272,5004,268
2017-06-10,5402,5250,152
2017-06-11,5523,5278,245
2017-06-12,5576,5305,271
2017-06-13,5164,4803,361
2017-06-14,5164,4831,333
2017-06-15,5164,4849,315
2017-06-16,5164,4832,332
2017-06-17,5164,4918,246
2017-06-18,5164,4906,258
2017-06-19,5164,4914,250
2017-06-20,5158,4931,227
2017-06-21,5158,4929,229
2017-06-22,5162,4932,230
2017-06-23,5184,4943,241
2017-06-24,5184,4970,214
2017-06-25,5184,4968,216
2017-06-26,5184,4917,267
2017-06-27,5184,4920,264
2017-06-28,5184,4927,257
2017-06-29,5184,4902,282
2017-06-30,5184,4866,318
2017-07-01,4653,4395,258
2017-07-02,4719,4332,387
2017-07-03,4721,4441,280
2017-07-04,4938,4626,312
2017-07-05,5007,4822,185
2017-07-06,5194,4834,360
2017-07-07,5184,4844,340
2017-07-08,5291,4953,338
2017-07-09,5272,5012,260
2017-07-10,5402,5250,152
2017-07-11,5573,5340,233
2017-07-12,5576,5305,271
2017-07-13,5180,4881,299
2017-07-14,5180,4869,311
2017-07-15,5180,4926,254
2017-07-16,5180,4950,230
2017-07-17,5180,4848,332
2017-07-18,5411,4868,543
2017-07-19,5411,4883,528
2017-07-20,5411,4885,526
2017-07-21,5411,4905,506
2017-07-22,5411,4977,434
2017-07-23,5411,4974,437
2017-07-24,5420,4898,522
2017-07-25,5420,4927,493
2017-07-26,5417,4941,476
2017-07-27,5417,4953,464
2017-07-28,5417,4966,451
2017-07-29,5417,5027,390
2017-07-30,5417,5013,404
2017-07-31,5407,4921,486
2017-08-01,4653,4369,284
2017-08-02,4725,4373,352
2017-08-03,4721,4458,263
2017-08-04,4938,4626,312
2017-08-05,5007,4736,271
2017-08-06,5190,4808,382
2017-08-07,5184,4914,270
2017-08-08,5291,4939,352
2017-08-09,5272,5015,257
2017-08-10,5402,5259,143
2017-08-11,5586,5340,246
2017-08-12,5576,5384,192
2017-08-13,5281,5017,264
2017-08-14,5281,4975,306
2017-08-15,5281,4972,309
2017-08-16,5281,4977,304
2017-08-17,5281,4969,312
2017-08-18,5281,4978,303
2017-08-19,5281,5053,228
2017-08-20,5281,5066,215
2017-08-21,5281,4989,292
2017-08-22,5281,5009,272
2017-08-23,5281,5014,267
2017-08-24,5281,5037,244
2017-08-25,5281,5012,269
2017-08-26,5281,5113,168
2017-08-27,5281,5092,189
2017-08-28,5281,5004,277
2017-08-29,5281,5008,273
2017-08-30,5281,5032,249
2017-08-31,5281,5008,273
2017-09-01,4653,4261,392
2017-09-02,4725,4382,343
2017-09-03,4721,4460,261
2017-09-04,4938,4607,331
2017-09-05,5007,4735,272
2017-09-06,5164,4814,350
2017-09-07,5184,4924,260
2017-09-08,5291,4972,319
2017-09-09,5272,5115,157
2017-09-10,5402,5187,215
2017-09-11,5572,5357,215
2017-09-12,5576,5390,186
2017-09-13,5264,5061,203
2017-09-14,5264,5054,210
2017-09-15,5264,5060,204
2017-09-16,5264,5139,125
2017-09-17,5264,5158,106
2017-09-18,5264,5065,199
2017-09-19,5264,5069,195
2017-09-20,5256,5077,179
2017-09-21,5336,5086,250
2017-09-22,5346,5087,259
2017-09-23,5346,5152,194
2017-09-24,5346,5161,185
2017-09-25,5346,5098,248
2017-09-26,5346,5107,239
2017-09-27,5338,5119,219
2017-09-28,5368,5151,217
2017-09-29,5368,5127,241
2017-09-30,5368,5194,174
2017-10-01,4663,4263,400
2017-10-02,4725,4453,272
2017-10-03,4721,4562,159
2017-10-04,4938,4568,370
2017-10-05,5007,4758,249
2017-10-06,5164,4889,275
2017-10-07,5180,4847,333
2017-10-08,5281,4971,310
2017-10-09,5272,5131,141
2017-10-10,5442,5186,256
2017-10-11,5572,5429,143
2017-10-12,5576,5374,202
2017-10-13,5443,5247,196
2017-10-14,5443,5278,165
2017-10-15,5443,5298,145
2017-10-16,5443,5217,226
2017-10-17,5443,5208,235
