Date,capacity,occupancy,vacancy
2017-01-01,3503,3265,238
2017-01-02,3548,3270,278
2017-01-03,3577,3268,309
2017-01-04,3607,3396,211
2017-01-05,3629,3367,262
2017-01-06,3612,3336,276
2017-01-07,3602,3393,209
2017-01-08,3581,3320,261
2017-01-09,3570,3315,255
2017-01-10,3547,3425,122
2017-01-11,3582,3371,211
2017-01-12,3647,3443,204
2017-01-13,3543,3348,195
2017-01-14,3543,3348,195
2017-01-15,3543,3350,193
2017-01-16,3543,3267,276
2017-01-17,3543,3273,270
2017-01-18,3543,3288,255
2017-01-19,3543,3281,262
2017-01-20,3543,3365,178
2017-01-21,3543,3352,191
2017-01-22,3543,3358,185
2017-01-23,3543,3286,257
2017-01-24,3543,3290,253
2017-01-25,3553,3297,256
2017-01-26,3553,3278,275
2017-01-27,3553,3331,222
2017-01-28,3553,3343,210
2017-01-29,3553,3351,202
2017-01-30,3558,3287,271
2017-01-31,3543,3265,278
2017-02-01,3503,3256,247
2017-02-02,3548,3279,269
2017-02-03,3577,3259,318
2017-02-04,3607,3360,247
2017-02-05,3629,3372,257
2017-02-06,3612,3332,280
2017-02-07,3602,3419,183
2017-02-08,3580,3290,290
2017-02-09,3570,3390,180
2017-02-10,3562,3370,192
2017-02-11,3582,3372,210
2017-02-12,3649,3428,221
2017-02-13,3569,3306,263
2017-02-14,3569,3297,272
2017-02-15,3569,3308,261
2017-02-16,3569,3300,269
2017-02-17,3569,3371,198
2017-02-18,3569,3360,209
2017-02-19,3569,3348,221
2017-02-20,3569,3298,271
2017-02-21,3575,3303,272
2017-02-22,3575,3305,270
2017-02-23,3581,3294,287
2017-02-24,3581,3363,218
2017-02-25,3581,3344,237
2017-02-26,3581,3351,230
2017-02-27,3571,3289,282
2017-02-28,3571,3278,293
2017-03-01,3503,3255,248
2017-03-02,3553,3377,176
2017-03-03,3577,3368,209
2017-03-04,3607,3372,235
2017-03-05,3629,3376,253
2017-03-06,3612,3391,221
2017-03-07,3602,3342,260
2017-03-08,3580,3312,268
2017-03-09,3570,3407,163
2017-03-10,3567,3370,197
2017-03-11,3582,3462,120
2017-03-12,3649,3462,187
2017-03-13,3565,3320,245
2017-03-14,3565,3342,223
2017-03-15,3565,3358,207
2017-03-16,3565,3315,250
2017-03-17,3565,3425,140
2017-03-18,3565,3412,153
2017-03-19,3565,3377,188
2017-03-20,3565,3320,245
2017-03-21,3565,3340,225
2017-03-22,3565,3332,233
2017-03-23,3565,3324,241
2017-03-24,3585,3413,172
2017-03-25,3585,3401,184
2017-03-26,3585,3394,191
2017-03-27,3585,3310,275
2017-03-28,3585,3317,268
2017-03-29,3585,3309,276
2017-03-30,3585,3338,247
2017-03-31,3607,3392,215
2017-04-01,3503,3284,219
2017-04-02,3553,3365,188
2017-04-03,3577,3387,190
2017-04-04,3607,3319,288
2017-04-05,3625,3380,245
2017-04-06,3612,3416,196
2017-04-07,3602,3321,281
2017-04-08,3580,3340,240
2017-04-09,3570,3337,233
2017-04-10,3564,3350,214
2017-04-11,3582,3480,102
2017-04-12,3649,3371,278
2017-04-13,3607,3355,252
2017-04-14,3607,3448,159
2017-04-15,3607,3446,161
2017-04-16,3607,3445,162
2017-04-17,3607,3393,214
2017-04-18,3607,3359,248
2017-04-19,3617,3362,255
2017-04-20,3617,3373,244
2017-04-21,3629,3467,162
2017-04-22,3629,3451,178
2017-04-23,3629,3450,179
2017-04-24,3629,3391,238
2017-04-25,3629,3389,240
2017-04-26,3629,3368,261
2017-04-27,3629,3359,270
2017-04-28,3629,3449,180
2017-04-29,3629,3451,178
2017-04-30,3629,3457,172
2017-05-01,3503,3288,215
2017-05-02,3553,3346,207
2017-05-03,3577,3365,212
