"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-01","Ontario","2016A000235","Persons","249","units","0","v12","7","13972735","","","","0"
"2017-04","Ontario","2016A000235","Persons","249","units","0","v12","7","14008134","","","","0"
"2017-07","Ontario","2016A000235","Persons","249","units","0","v12","7","14072615","","","","0"
"2017-10","Ontario","2016A000235","Persons","249","units","0","v12","7","14152156","","","","0"
"2018-01","Ontario","2016A000235","Persons","249","units","0","v12","7","14188919","","","","0"
"2018-04","Ontario","2016A000235","Persons","249","units","0","v12","7","14241379","","","","0"
"2018-07","Ontario","2016A000235","Persons","249","units","0","v12","7","14318545","","","","0"
"2018-10","Ontario","2016A000235","Persons","249","units","0","v12","7","14405726","","","","0"
"2019-01","Ontario","2016A000235","Persons","249","units","0","v12","7","14441694","","","","0"
"2019-04","Ontario","2016A000235","Persons","249","units","0","v12","7","14484242","","","","0"
"2019-07","Ontario","2016A000235","Persons","249","units","0","v12","7","14566547","","","","0"
"2019-10","Ontario","2016A000235","Persons","249","units","0","v12","7","14659616","","","","0"


