occupancy_date,occupancy,capacity,vacancy,occupancy_rate
2017-01-01,4295,4653,358,92.30603911454975
2017-01-02,4299,4704,405,91.39030612244898
2017-01-03,4386,4733,347,92.66849778153392
2017-01-04,4600,4938,338,93.15512353179425
2017-01-05,4729,5011,282,94.37238076232289
2017-01-06,4803,5054,251,95.03363672338742
2017-01-07,4939,5184,245,95.27391975308642
2017-01-08,4911,5397,486,90.99499722067816
2017-01-09,4994,5281,287,94.56542321530014
2017-01-10,5176,5368,192,96.42324888226528
2017-01-11,5244,5523,279,94.94839760999457
2017-01-12,5365,5574,209,96.25044851094367
2017-01-13,4410,4699,289,93.84975526707811
2017-01-14,4411,4699,288,93.87103639072143
2017-01-15,4414,4699,285,93.93487976165142
2017-01-16,4335,4699,364,92.25367099382848
2017-01-17,4338,4699,361,92.31751436475845
2017-01-18,4364,4699,335,92.87082357948499
2017-01-19,4359,4699,340,92.76441796126835
2017-01-20,4432,4699,267,94.31793998723133
2017-01-21,4416,4699,283,93.97744200893807
2017-01-22,4424,4699,275,94.1476909980847
2017-01-23,4354,4699,345,92.65801234305171
2017-01-24,4361,4699,338,92.80698020855502
2017-01-25,4364,4709,345,92.67360373752389
2017-01-26,4349,4709,360,92.35506476959014
2017-01-27,4402,4709,307,93.48056912295604
2017-01-28,4416,4709,293,93.7778721596942
2017-01-29,4424,4709,285,93.94775960925887
2017-01-30,4350,4714,364,92.27831989817564
2017-01-31,4327,4699,372,92.08342200468185
2017-02-01,4289,4653,364,92.17709004943048
2017-02-02,4307,4704,397,91.56037414965986
2017-02-03,4379,4733,354,92.52060004225649
2017-02-04,4558,4938,380,92.30457675172134
2017-02-05,4726,5011,285,94.31251247256037
2017-02-06,4788,5054,266,94.73684210526315
2017-02-07,4944,5184,240,95.37037037037037
2017-02-08,4895,5396,501,90.71534469977762
2017-02-09,5053,5281,228,95.68263586441962
2017-02-10,5112,5383,271,94.96563254690693
2017-02-11,5271,5523,252,95.43726235741445
2017-02-12,5335,5576,241,95.67790530846484
2017-02-13,4399,4725,326,93.1005291005291
2017-02-14,4401,4725,324,93.14285714285714
2017-02-15,4403,4725,322,93.18518518518518
2017-02-16,4403,4725,322,93.18518518518518
2017-02-17,4477,4725,248,94.75132275132275
2017-02-18,4470,4725,255,94.6031746031746
2017-02-19,4458,4725,267,94.34920634920636
2017-02-20,4417,4725,308,93.48148148148148
2017-02-21,4415,4731,316,93.32065102515324
2017-02-22,4425,4731,306,93.53202282815472
2017-02-23,4429,4737,308,93.49799451129407
2017-02-24,4519,4737,218,95.39793118007177
2017-02-25,4497,4737,240,94.93350221659279
2017-02-26,4507,4737,230,95.14460629090141
2017-02-27,4444,4727,283,94.01311614131585
2017-02-28,4444,4727,283,94.01311614131585
2017-03-01,4296,4653,357,92.32753062540297
2017-03-02,4412,4709,297,93.69292843491188
2017-03-03,4489,4733,244,94.84470737375872
2017-03-04,4568,4938,370,92.50708788983394
2017-03-05,4731,5011,280,94.4122929554979
2017-03-06,4843,5054,211,95.82508903838544
2017-03-07,4859,5184,325,93.7307098765432
2017-03-08,4941,5291,350,93.3849933849934
2017-03-09,5070,5281,211,96.00454459382692
2017-03-10,5132,5388,256,95.24870081662955
