,capacity,capacity,capacity,capacity,capacity,occupancy,occupancy,occupancy,occupancy,occupancy,vacancy,vacancy,vacancy,vacancy,vacancy
sector,Co-ed,Families,Men,Women,Youth,Co-ed,Families,Men,Women,Youth,Co-ed,Families,Men,Women,Youth
Date,,,,,,,,,,,,,,,
2017-01-01,582,1150,1706,697,518,530,1030,1595,641,499,52,120,111,56,19
2017-01-02,582,1156,1751,697,518,458,1029,1655,661,496,124,127,96,36,22
2017-01-03,582,1156,1780,697,518,457,1118,1664,651,496,125,38,116,46,22
2017-01-04,612,1331,1792,685,518,559,1204,1678,661,498,53,127,114,24,20
2017-01-05,622,1382,1792,697,518,488,1362,1697,677,505,134,20,95,20,13
2017-01-06,622,1442,1775,697,518,483,1467,1679,679,495,139,-25,96,18,23
2017-01-07,626,1582,1751,707,518,559,1546,1645,692,497,67,36,106,15,21
2017-01-08,626,1816,1740,697,518,485,1591,1638,686,511,141,225,102,11,7
2017-01-09,626,1711,1729,697,518,470,1679,1659,684,502,156,32,70,13,16
2017-01-10,594,1821,1739,696,518,546,1751,1690,677,512,48,70,49,19,6
2017-01-11,586,1941,1751,727,518,478,1873,1666,717,510,108,68,85,10,8
2017-01-12,584,1927,1814,731,518,550,1922,1685,717,491,34,5,129,14,27
2017-01-13,582,1156,1746,697,518,545,1062,1626,670,507,37,94,120,27,11
2017-01-14,582,1156,1746,697,518,544,1063,1642,662,500,38,93,104,35,18
2017-01-15,582,1156,1746,697,518,541,1064,1638,667,504,41,92,108,30,14
2017-01-16,582,1156,1746,697,518,459,1068,1639,667,502,123,88,107,30,16
2017-01-17,582,1156,1746,697,518,461,1065,1645,666,501,121,91,101,31,17
2017-01-18,582,1156,1746,697,518,458,1076,1660,669,501,124,80,86,28,17
2017-01-19,582,1156,1746,697,518,459,1078,1656,665,501,123,78,90,32,17
2017-01-20,582,1156,1746,697,518,543,1067,1666,662,494,39,89,80,35,24
2017-01-21,582,1156,1746,697,518,544,1064,1649,660,499,38,92,97,37,19
2017-01-22,582,1156,1746,697,518,539,1066,1668,662,489,43,90,78,35,29
2017-01-23,582,1156,1746,697,518,458,1068,1674,660,494,124,88,72,37,24
2017-01-24,582,1156,1746,697,518,459,1071,1674,661,496,123,85,72,36,22
2017-01-25,582,1156,1756,697,518,457,1067,1671,668,501,125,89,85,29,17
2017-01-26,582,1156,1756,697,518,460,1071,1666,656,496,122,85,90,41,22
2017-01-27,582,1156,1756,697,518,544,1071,1639,656,492,38,85,117,41,26
2017-01-28,582,1156,1756,697,518,544,1073,1645,662,492,38,83,111,35,26
2017-01-29,582,1156,1756,697,518,539,1073,1654,663,495,43,83,102,34,23
2017-01-30,582,1156,1761,697,518,459,1063,1669,662,497,123,93,92,35,21
2017-01-31,582,1156,1746,697,518,462,1062,1642,663,498,120,94,104,34,20
2017-02-01,582,1150,1706,697,518,521,1033,1599,635,501,61,117,107,62,17
2017-02-02,582,1156,1751,697,518,456,1028,1659,665,499,126,128,92,32,19
2017-02-03,582,1156,1780,697,518,453,1120,1663,646,497,129,36,117,51,21
2017-02-04,612,1331,1792,685,518,554,1198,1647,664,495,58,133,145,21,23
2017-02-05,622,1382,1792,697,518,490,1354,1697,680,505,132,28,95,17,13
2017-02-06,622,1442,1775,697,518,483,1456,1674,676,499,139,-14,101,21,19
2017-02-07,626,1582,1751,707,518,571,1525,1651,693,504,55,57,100,14,14
2017-02-08,626,1816,1739,697,518,479,1605,1617,684,510,147,211,122,13,8
2017-02-09,626,1711,1729,697,518,542,1663,1657,687,504,84,48,72,10,14
2017-02-10,594,1821,1749,701,518,474,1742,1699,686,511,120,79,50,15,7
2017-02-11,586,1941,1751,727,518,479,1899,1664,719,510,107,42,87,8,8
2017-02-12,586,1927,1814,731,518,557,1907,1660,718,493,29,20,154,13,25
2017-02-13,582,1156,1772,697,518,457,1093,1694,662,493,125,63,78,35,25
2017-02-14,582,1156,1772,697,518,456,1104,1686,661,494,126,52,86,36,24
2017-02-15,582,1156,1772,697,518,460,1095,1689,656,503,122,61,83,41,15
2017-02-16,582,1156,1772,697,518,460,1103,1683,659,498,122,53,89,38,20
2017-02-17,582,1156,1772,697,518,541,1106,1673,654,503,41,50,99,43,15
2017-02-18,582,1156,1772,697,518,541,1110,1659,657,503,41,46,113,40,15
2017-02-19,582,1156,1772,697,518,534,1110,1657,655,502,48,46,115,42,16
2017-02-20,582,1156,1772,697,518,458,1119,1675,662,503,124,37,97,35,15
2017-02-21,582,1156,1778,697,518,459,1112,1677,663,504,123,44,101,34,14
2017-02-22,582,1156,1778,697,518,457,1120,1674,669,505,125,36,104,28,13
2017-02-23,582,1156,1784,697,518,459,1135,1659,672,504,123,21,125,25,14
2017-02-24,582,1156,1784,697,518,529,1156,1661,669,504,53,0,123,28,14
2017-02-25,582,1156,1784,697,518,529,1153,1648,660,507,53,3,136,37,11
2017-02-26,582,1156,1784,697,518,526,1156,1651,670,504,56,0,133,27,14
2017-02-27,582,1156,1774,697,518,441,1155,1673,671,504,141,1,101,26,14
2017-02-28,582,1156,1774,697,518,443,1166,1676,664,495,139,-10,98,33,23
2017-03-01,582,1150,1706,697,518,518,1041,1598,642,497,64,109,108,55,21
2017-03-02,582,1156,1756,697,518,537,1035,1674,667,499,45,121,82,30,19
2017-03-03,582,1156,1780,697,518,542,1121,1679,650,497,40,35,101,47,21
2017-03-04,612,1331,1792,685,518,545,1196,1659,665,503,67,135,133,20,15
2017-03-05,622,1382,1792,697,518,492,1355,1697,680,507,130,27,95,17,11
2017-03-06,622,1442,1775,697,518,559,1452,1672,670,490,63,-10,103,27,28
2017-03-07,626,1582,1751,707,518,488,1517,1665,691,498,138,65,86,16,20
2017-03-08,626,1711,1739,697,518,487,1629,1629,688,508,139,82,110,9,10
2017-03-09,626,1711,1729,697,518,551,1663,1663,689,504,75,48,66,8,14
2017-03-10,594,1821,1749,706,518,476,1762,1693,690,511,118,59,56,16,7
2017-03-11,586,1941,1751,727,518,559,1898,1681,717,505,27,43,70,10,13
2017-03-12,586,1927,1814,731,518,557,1910,1685,718,502,29,17,129,13,16
2017-03-13,582,1156,1780,685,518,457,1155,1689,676,498,125,1,91,9,20
2017-03-14,582,1156,1780,685,518,458,1161,1714,676,494,124,-5,66,9,24
2017-03-15,582,1156,1780,685,518,461,1154,1719,676,502,121,2,61,9,16
2017-03-16,582,1156,1780,685,518,461,1161,1690,668,496,121,-5,90,17,22
2017-03-17,582,1156,1780,685,518,537,1180,1717,671,500,45,-24,63,14,18
2017-03-18,582,1156,1780,685,518,542,1166,1703,674,493,40,-10,77,11,25
2017-03-19,582,1156,1780,685,518,540,1174,1683,665,489,42,-18,97,20,29
2017-03-20,582,1156,1780,685,518,455,1183,1702,672,491,127,-27,78,13,27
